tag,created_at,git_sha,matrix,n_features,feature_hash,target,model,horizon_m,train_rows,train_positives,base_rate,roc_auc,pr_auc,precision_at_100,precision_at_500,precision_at_1000,roc_auc_lo,roc_auc_hi,precision_at_500_lo,precision_at_500_hi
lender_calib_lo,2026-08-07T20:19:34.862776+00:00,47efea3,data/processed/model_matrix_lender_calib_lo,54,4ba0c29df138,insolvency,lightgbm,6,165674,15022,0.003293984802439809,0.7621208925210229,0.017524893399279554,0.17000000178813934,0.13600000739097595,0.10700000077486038,0.7578418073939233,0.7666657724864271,0.104,0.164
lender_calib_lo,2026-08-07T20:19:34.862776+00:00,47efea3,data/processed/model_matrix_lender_calib_lo,54,4ba0c29df138,insolvency,logistic,6,165674,15022,0.003293984802439809,0.734697992733313,0.012824973878346918,0.03999999910593033,0.07199999690055847,0.07199999690055847,0.7301229318704919,0.7393959489789628,0.05,0.096
lender_calib_lo,2026-08-07T20:19:34.862776+00:00,47efea3,data/processed/model_matrix_lender_calib_lo,54,4ba0c29df138,insolvency,mlp,6,165674,15022,0.003293984802439809,0.7418378882927147,0.013653347838032973,0.07999999821186066,0.09200000017881393,0.0820000022649765,0.7374377094276157,0.7466372290370167,0.068,0.118
lender_calib_lo,2026-08-07T20:19:34.862776+00:00,47efea3,data/processed/model_matrix_lender_calib_lo,54,4ba0c29df138,voluntary_exit,lightgbm,6,3779912,343699,0.07727589458227158,0.792760895612727,0.35082357802954495,0.800000011920929,0.8339999914169312,0.8539999723434448,0.7917237479244632,0.7938059153757151,0.8,0.866
lender_calib_lo,2026-08-07T20:19:34.862776+00:00,47efea3,data/processed/model_matrix_lender_calib_lo,54,4ba0c29df138,voluntary_exit,logistic,6,3779912,343699,0.07727589458227158,0.7692049379638046,0.3101359901426141,0.2199999988079071,0.42800000309944153,0.4740000069141388,0.7681972829957494,0.7702935783629725,0.37395,0.478
lender_calib_lo,2026-08-07T20:19:34.862776+00:00,47efea3,data/processed/model_matrix_lender_calib_lo,54,4ba0c29df138,voluntary_exit,mlp,6,3779912,343699,0.07727589458227158,0.7782442463698268,0.33447655275243976,0.38999998569488525,0.6579999923706055,0.7450000047683716,0.7773050915136129,0.7793310290375869,0.62,0.70805
lender_calib_lo,2026-08-07T20:19:34.862776+00:00,47efea3,data/processed/model_matrix_lender_calib_lo,54,4ba0c29df138,growth,lightgbm,12,610789,55564,0.021370641887187958,0.761663785829509,0.057644301633962614,0.1899999976158142,0.20000000298023224,0.18299999833106995,0.7598117865003826,0.7635448525046132,0.164,0.236
lender_calib_lo,2026-08-07T20:19:34.862776+00:00,47efea3,data/processed/model_matrix_lender_calib_lo,54,4ba0c29df138,growth,logistic,12,610789,55564,0.021370641887187958,0.7386851973160536,0.04876542241703518,0.15000000596046448,0.15800000727176666,0.15199999511241913,0.7366805957049407,0.7407427286346389,0.124,0.18604999999999997
lender_calib_lo,2026-08-07T20:19:34.862776+00:00,47efea3,data/processed/model_matrix_lender_calib_lo,54,4ba0c29df138,growth,mlp,12,610789,55564,0.021370641887187958,0.7015611913159465,0.04407893593809067,0.11999999731779099,0.1340000033378601,0.14300000667572021,0.6991678751437986,0.7039026069209402,0.104,0.168
lender_fixed,2026-08-07T07:27:00.649902+00:00,e44c79a,data/processed/model_matrix_lender_fixed,54,4ba0c29df138,lending,lightgbm,3,214708,19624,0.0027111421804875135,0.8860883193343456,0.12754456674821527,0.9800000190734863,0.7419999837875366,0.5820000171661377,,,,
