CompanyNumber,grant_has_any,grant_n_organisations,grant_n_projects,grant_max_confidence,grant_min_confidence,grant_match_method,grant_source_date,grant_has_date
00764976,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00775106,1,1,2,0.9,0.9,name_postcode,2026-08-11,0
00775276,1,3,21,0.9,0.9,name_postcode,2026-08-11,0
00782263,1,1,0,0.9,0.9,name_postcode,2026-08-11,0
00788765,1,2,3,0.9,0.9,name_postcode,2026-08-11,0
00790396,1,1,3,0.9,0.9,name_postcode,2026-08-11,0
00793018,1,2,4,0.9,0.9,name_postcode,2026-08-11,0
00794221,1,1,4,0.9,0.9,name_postcode,2026-08-11,0
00806915,1,1,1,0.8,0.8,name_postcode_area,2026-08-11,0
00807351,1,2,1,0.9,0.9,name_postcode,2026-08-11,0
00809228,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00813701,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00823259,1,1,2,0.9,0.9,name_postcode,2026-08-11,0
00823762,1,1,3,0.9,0.9,name_postcode,2026-08-11,0
00824746,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00827815,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00827957,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00830676,1,2,1,0.8,0.8,name_postcode_area,2026-08-11,0
00831538,1,1,4,0.9,0.9,name_postcode,2026-08-11,0
00834329,1,1,7,0.9,0.9,name_postcode,2026-08-11,0
00835402,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00835510,1,1,1,0.8,0.8,name_postcode_area,2026-08-11,0
00838508,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00843903,1,1,3,0.9,0.9,name_postcode,2026-08-11,0
00851165,1,1,6,0.9,0.9,name_postcode,2026-08-11,0
00856633,1,1,4,0.9,0.9,name_postcode,2026-08-11,0
00858193,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00860702,1,1,3,0.9,0.9,name_postcode,2026-08-11,0
00866933,1,2,1,0.9,0.9,name_postcode,2026-08-11,0
00867053,1,1,4,0.9,0.9,name_postcode,2026-08-11,0
00868273,1,2,196,0.9,0.9,name_postcode,2026-08-11,0
00869208,1,1,3,0.9,0.9,name_postcode,2026-08-11,0
00869623,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00869707,1,1,0,0.9,0.9,name_postcode,2026-08-11,0
00872262,1,1,2,0.9,0.9,name_postcode,2026-08-11,0
00872948,1,2,19,0.9,0.9,name_postcode,2026-08-11,0
00876004,1,3,24,0.9,0.9,name_postcode,2026-08-11,0
00876034,1,2,1,0.9,0.9,name_postcode,2026-08-11,0
00876120,1,2,1,0.9,0.9,name_postcode,2026-08-11,0
00877338,1,2,0,0.9,0.9,name_postcode,2026-08-11,0
00880499,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00886870,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00887600,1,1,3,0.9,0.9,name_postcode,2026-08-11,0
00888596,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00890443,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00895081,1,2,26,0.9,0.9,name_postcode,2026-08-11,0
00895927,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00896823,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00898651,1,1,4,0.8,0.8,name_postcode_area,2026-08-11,0
00900323,1,1,2,0.9,0.9,name_postcode,2026-08-11,0
00902205,1,1,4,0.9,0.9,name_postcode,2026-08-11,0
00903535,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00904056,1,1,0,0.9,0.9,name_postcode,2026-08-11,0
00905145,1,1,2,0.9,0.9,name_postcode,2026-08-11,0
00905173,1,1,0,0.8,0.8,name_postcode_area,2026-08-11,0
00908396,1,1,2,0.9,0.9,name_postcode,2026-08-11,0
