CompanyNumber,prop_has_any,prop_count_total,prop_count_12m,prop_first_date,prop_latest_date,prop_days_since_latest,prop_value_total,prop_value_max,prop_value_count,prop_types,prop_match_method,prop_max_confidence,prop_min_confidence
02634027,1,2,1,2014-02-24,2025-07-23,343,,,0,property_title,company_number,1.0,1.0
02634095,1,2,0,2016-10-19,2017-01-06,3463,,,0,property_title,company_number,1.0,1.0
02634300,1,1,0,2000-03-10,2000-03-10,9609,145000.0,145000.0,1,property_title,company_number,1.0,1.0
02634371,1,587,2,1992-09-14,2025-07-31,335,25397105.0,1500000.0,95,property_title,company_number,1.0,1.0
02634375,1,1,0,2020-10-06,2020-10-06,2094,,,0,property_title,company_number,1.0,1.0
02634385,1,1,0,2012-03-26,2012-03-26,5210,,,0,property_title,company_number,1.0,1.0
02634469,1,1,0,2012-08-08,2012-08-08,5075,,,0,property_title,company_number,1.0,1.0
02634482,1,2,0,1996-12-19,2014-05-22,4423,,,0,property_title,company_number,1.0,1.0
02634933,1,1,0,1993-02-12,1993-02-12,12192,,,0,property_title,company_number,1.0,1.0
02635241,1,3,0,1991-12-09,2002-03-27,8862,,,0,property_title,company_number,1.0,1.0
02635311,1,2,0,1998-08-05,2013-08-23,4695,,,0,property_title,company_number,1.0,1.0
02635404,1,1,0,1996-09-20,1996-09-20,10876,,,0,property_title,company_number,1.0,1.0
02635436,1,2,0,1998-01-23,2010-02-15,5980,,,0,property_title,company_number,1.0,1.0
02635454,1,2,0,2006-06-19,2014-03-20,4486,,,0,property_title,company_number,1.0,1.0
02635594,1,2,0,1998-12-04,2004-09-27,7947,,,0,property_title,company_number,1.0,1.0
02635863,1,1,0,1994-10-13,1994-10-13,11584,,,0,property_title,company_number,1.0,1.0
02636014,1,1,0,1992-02-03,1992-02-03,12567,,,0,property_title,company_number,1.0,1.0
02636096,1,1,0,2003-03-06,2003-03-06,8518,,,0,property_title,company_number,1.0,1.0
02636196,1,4,0,2009-10-02,2020-06-05,2217,,,0,property_title,company_number,1.0,1.0
02636286,1,1,0,1993-04-02,1993-04-02,12143,,,0,property_title,company_number,1.0,1.0
02636354,1,1,0,2015-03-09,2015-03-09,4132,,,0,property_title,company_number,1.0,1.0
02636406,1,2,0,2015-06-08,2016-12-29,3471,390000.0,390000.0,1,property_title,company_number,1.0,1.0
02636413,1,3,0,2015-07-27,2022-07-07,1455,,,0,property_title,company_number,1.0,1.0
02636775,1,1,0,2015-03-24,2015-03-24,4117,,,0,property_title,company_number,1.0,1.0
02636865,1,1,0,2005-10-04,2005-10-04,7575,,,0,property_title,company_number,1.0,1.0
02636953,1,1,0,2015-11-17,2015-11-17,3879,277500.0,277500.0,1,property_title,company_number,1.0,1.0
02636999,1,1,0,2018-01-24,2018-01-24,3080,,,0,property_title,company_number,1.0,1.0
02637000,1,2,0,2005-02-16,2025-05-02,425,,,0,property_title,company_number,1.0,1.0
02637115,1,4,0,2011-03-08,2025-02-07,509,500000.0,300000.0,2,property_title,company_number,1.0,1.0
02637721,1,1,0,2011-02-11,2011-02-11,5619,290000.0,290000.0,1,property_title,company_number,1.0,1.0
02638035,1,1,0,2021-12-22,2021-12-22,1652,,,0,property_title,company_number,1.0,1.0
02638042,1,1,0,2015-08-05,2015-08-05,3983,,,0,property_title,company_number,1.0,1.0
02638127,1,2,0,1997-02-26,1998-03-30,10320,,,0,property_title,company_number,1.0,1.0
02638305,1,2,0,1996-12-09,2022-11-17,1322,570000.0,570000.0,1,property_title,company_number,1.0,1.0
